SMILES,HOMO,LUMO,J,V,FF,PCE,refJ,refV,refFF,refPCE,doi
COC1=CC=C(N(C2=CC=C(C(S3)=CC4=C3C(C(C5=CC=C(CCCCCC)C=C5)(C6=CC=C(CCCCCC)C=C6)C7=C8C=C9C(C([S]=C%10C%11SC(C%12=CC=C(N(C%13=CC=C(OC)C=C%13)C%14=CC=C([o]C)C=C%14)C=C%12)=C%10)=C%11C9(C%15=CC=C(CCCCCC)C=C%15)C%16=CC=C(CCCCCC)C=C%16)=C7)=C8S4)C=C2)C%17=CC=C([o]C)C=C%17)C=C1,-5,-2.5,21.99,1.04,0.7,15.7,22.18,1.07,0.72,17,10.1002/cssc.201700197
OC(C(C1=CC=C(N(C2=CC=CC=C2)C3=C4C=CC=C3)C4=C1)=CC(C5=CC(N(C6=CC=CC=C6)C7=C8C=CC=C7)=C8C=C5)=C9)=C9C(C=C%10)=CC%11=C%10N(C%12=C%11C=CC=C%12)C%13=CC=CC=C%13,-5.47,-2.02,23.15,1.07,0.67,16.97,23.1,1.11,0.73,18.85,10.1016/j.jpowsour.2017.01.121
CCCCCCCCOC(C(C1=CC=C(N(C2=CC=CC=C2)C3=C4C=CC=C3)C4=C1)=CC(C5=CC(N(C6=CC=CC=C6)C7=C8C=CC=C7)=C8C=C5)=C9)=C9C(C=C%10)=CC%11=C%10N(C%12=C%11C=CC=C%12)C%13=CC=CC=C%13,-5.56,-2.11,22.38,1.09,0.61,15.28,23.1,1.11,0.73,18.85,10.1016/j.jpowsour.2017.01.121
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C(C=C3)=CC4=C3C5=C(N4C(CCCCC)CC)C=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)C=C5,-4.78,-1.82,25.19,0.93,0.68,15.92,22.32,1.02,0.73,16.7,10.1039/c7tc03683c
CCCCCCOC1=CC=C(N(C2=CC=C(C3=CC4=C(C(SC5=C6NC7=C5SC(/C=C(C#N)/C#N)=C7)=C6N4)S3)C=C2)C8=CC=C(OCCCCCC)C=C8)C=C1,-5.1,-3.53,22.5,1.04,0.73,17.7,23,1.1,0.75,19.8,10.1021/acsami.7b10039
CCCCCCOC1=CC=C(N(C2=CC=C(C3=CC4=C(C(SC5=C6SC7=C5N(CCCCCC)C8=C7SC(/C=C(C#N)/C#N)=C8)=C6N4CCCCCC)S3)C=C2)C9=CC=C(OCCCCCC)C=C9)C=C1,-5.08,-3.57,21.7,1.02,0.7,16.1,23,1.1,0.75,19.8,10.1021/acsami.7b10039
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C(C=C3)=CC=C3C4=C(C5=CC=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)C=C5)C(C8=CC=C(N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)C=C8)=C(C%11=CC=C(N(C%12=CC=C(OC)C=C%12)C%13=CC=C(OC)C=C%13)C=C%11)C(C%14=CC=C(N(C%15=CC=C(OC)C=C%15)C%16=CC=C(OC)C=C%16)C=C%14)=C4C%17=CC=C(N(C%18=CC=C(OC)C=C%18)C%19=CC=C(OC)C=C%19)C=C%17,-5.31,-2.1,22.11,1.06,0.62,15.74,22.83,1.1,0.66,17.73,10.1021/acsami.7b13380
FC1=C(C2=CC3=C(C(SC(C4=C(F)C=C(C5=CC6=C(C(SC(C7=C(F)C=C(C8=CC=C(C9=CC=C(CCCCCC)S9)S8)C%10=NSN=C%107)=C%11)=C%11[Si]6(C(CCCC)CC)C(CCCC)CC)S5)C%12=NSN=C%124)=C%13)=C%13[Si]3(C(CCCC)CC)C(CCCC)CC)S2)C%14=NSN=C%14C(C(S%15)=CC=C%15C%16=CC=C(CCCCCC)S%16)=C1,-5.27,-3.86,20.7,1.1,0.76,17.3,20.5,1.1,0.77,17.4,10.1021/acsami.7b11938
CC1=CC=C(N(C2=CC=C(C3(CCCCC3)C4=CC=C(N(C5=CC=C(C)C=C5)C6=CC=C(C)C=C6)C=C4)C=C2)C7=CC=C(C)C=C7)C=C1,-5.5,-2,22.32,1.04,0.81,18.8,19.37,0.89,0.73,12.63,10.1002/adfm.201702613
COC1=CC=C(N(C2=CC=C(OC)C=C2)C3=CC=C(C4=C(OCCO5)C5=C(C(C=C6)=CC7=C6C(C8=C9C%10=C(C=C(C(S%11)=C%12C(OCCO%12)=C%11C%13=CC=C(N(C%14=CC=C(OC)C=C%14)C%15=CC=C(OC)C=C%15)C=C%13)C=C%10)C8(CCCCCC)CCCCCC)=C(C7(CCCCCC)CCCCCC)C%16=C9C(CCCCCC)(CCCCCC)C%17=CC=C(C(S%18)=C%19C(OCCO%19)=C%18C%20=CC=C(N(C%21=CC=C(OC)C=C%21)C%22=CC=C(OC)C=C%22)C=C%20)C=C%17%16)S4)C=C3)C=C1,-5.1,-2.5,20.8,1.08,0.82,18.36,21.9,1.1,0.79,19.13,10.1039/c7ta08053k
