SMILES,HOMO,LUMO,J,V,FF,PCE,refJ,refV,refFF,refPCE,doi
COC1=CC=C(N(C2=CC=C(C3=C4C=C(N(C5=CC=C(OC)C=C5)C6=CC=C(OC)C=C6)C=C3)C(N4C7=CC=C(OC)C=C7)=C2)C8=CC=C(OC)C=C8)C=C1,-5.43,0.5,17.14,0.76,0.58,7.6,16.82,0.83,0.73,10.2,10.1002/adma.201402415
CCCCCCCCC1(CCCCCCCC)C2=C(C=CC(C3=CC4=C(C(C=CC=C5)=C5C46C7=C(C8=C6C=CC=C8)C=CC=C7)C=C3)=C2)C9=C1C=C(N(C%10=CC(C%11(CCCCCCCC)CCCCCCCC)=C(C%12=C%11C=C(C%13=CC%14=C(C(C=CC=C%15)=C%15C%14%16C%17=C(C%18=C%16C=CC=C%18)C=CC=C%17)C=C%13)C=C%12)C=C%10)C%19=CC=C(N(C%20=C%21C=CC=C%20)C%22=C%21C=CC=C%22)C=C%19)C=C9,-5.26,-2.37,20.91,1.09,0.75,17.21,20.71,1.05,0.77,16.67,10.1002/adma.201503729
CCCCCCCCC1(CCCCCCCC)C2=C(C=CC(C3=CC4=C(C(C=CC(C#N)=C5)=C5C46C7=C(C8=C6C=CC=C8)C=CC=C7)C=C3)=C2)C9=C1C=C(N(C%10=CC(C%11(CCCCCCCC)CCCCCCCC)=C(C%12=C%11C=C(C%13=CC%14=C(C(C=CC(C#N)=C%15)=C%15C%14%16C%17=C(C%18=C%16C=CC=C%18)C=CC=C%17)C=C%13)C=C%12)C=C%10)C%19=CC=C(N(C%20=C%21C=CC=C%20)C%22=C%21C=CC=C%22)C=C%19)C=C9,-5.27,-2.57,20.38,1.04,0.76,16.04,20.71,1.05,0.77,16.67,10.1002/adma.201503729
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C3=CC4=C5C(C=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)S5)=C8C(C=C(N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)S8)=C4S3,-5.2,-,20.4,1.04,0.72,16,21.6,1.09,0.77,18.1,10.1002/anie.201511877
COC(C=C1)=CC=C1N(C2=CC(C3=C4C=CC(N(C5=CC=C(OC)C=C5)C6=CC=C(OC)C=C6)=C3)=C(C=C2)N4C7=CC8=C9C(C=C(N%10C(C=CC(N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)=C%13)=C%13C%14=C%10C=CC(N(C%15=CC=C(OC)C=C%15)C%16=CC=C(OC)C=C%16)=C%14)S9)=C%17C(C=C(N%18C(C=CC(N(C%19=CC=C(OC)C=C%19)C%20=CC=C(OC)C=C%20)=C%21)=C%21C%22=C%18C=CC(N(C%23=CC=C(OC)C=C%23)C%24=CC=C(OC)C=C%24)=C%22)S%17)=C8S7)C%25=CC=C(OC)C=C%25,-5.2,-,20.6,1.09,0.77,17,21.6,1.09,0.77,18.1,10.1002/anie.201511877
COC(C=C1)=CC=C1N(C2=CC=C(C3=CC4=C5C(C=C(C6=CC=C(N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C=C6)S5)=C9C(C=C(C%10=CC=C(N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)C=C%10)S9)=C4S3)C=C2)C%13=CC=C(OC)C=C%13,-5.4,-,21.9,1.07,0.77,18.2,21.6,1.09,0.77,18.1,10.1002/anie.201511877
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C3=CC=C4C(C(OC5(C6=C7SC=C6)C8=CC(N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)=CC=C8C%11=C5C=C(N(C%12=CC=C(OC)C=C%12)C%13=CC=C(OC)C=C%13)C=C%11)(C%14=C7SC=C%14)C%15=C4C=CC(N(C%16=CC=C(OC)C=C%16)C%17=CC=C(OC)C=C%17)=C%15)=C3,-5.07,-2.05,22.37,1.1,0.79,19.4,22.44,1.12,0.75,18.8,10.1039/C6TA09028A
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C3=CC(/C(C4=C5C=CC(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)=C4)=C/C8=CC(/C=C(C9=C%10C=CC(N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)=C9)/C%13=C%10C=CC(N(C%14=CC=C(OC)C=C%14)C%15=CC=C(OC)C=C%15)=C%13)=CC(C=C(C%16=C%17C=CC(N(C%18=CC=C(OC)C=C%18)C%19=CC=C(OC)C=C%19)=C%16)C%20=C%17C=CC(N(C%21=CC=C(OC)C=C%21)C%22=CC=C(OC)C=C%22)=C%20)=C8)=C5C=C3,-,-,21.7,1.14,0.71,17.77,22.3,1.12,0.73,18.25,10.1039/C5EE03911H
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C3=CC(/C(C4=C5C=CC(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)=C4)=C/C8=C(C=C(C9=C%10C=CC(N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)=C9)C%13=C%10C=CC(N(C%14=CC=C(OC)C=C%14)C%15=CC=C(OC)C=C%15)=C%13)C=CC=C8)=C5C=C3,-,-,23.3,1.12,0.75,19.47,22.3,1.12,0.73,18.25,10.1039/C5EE03911H
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C3=CC(/C(C4=C5C=CC(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)=C4)=C\C8=CC=C(/C=C(C9=C%10C=CC(N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)=C9)\C%13=C%10C=CC(N(C%14=CC=C(OC)C=C%14)C%15=CC=C(OC)C=C%15)=C%13)S8)=C5C=C3,-,-,22.5,1.14,0.77,19.96,22.3,1.15,0.73,18.25,10.1039/C5EE03911H
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C(C=C3)=CC4=C3C5=C(C4C(C6=C7C=CC(N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)=C6)C%10=C7C=CC(N(C%11=CC=C(OC)C=C%11)C%12=CC(OC)=CC=C%12)=C%10)C=C(N(C%13=CC=C(OC)C=C%13)C%14=CC(OC)=CC=C%14)C=C5,-5,-2.08,24.2,1.15,0.71,19.8,23.3,1.1,0.72,18.9,10.1002/aenm.201601062
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C(C=C3)=CC4=C3C5=C(/C4=C(C6=C7C=CC(N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)=C6)/C%10=C7C=CC(N(C%11=CC=C(OC)C=C%11)C%12=CC(OC)=CC=C%12)=C%10)C=C(N(C%13=CC=C(OC)C=C%13)C%14=CC(OC)=CC=C%14)C=C5,-4.89,-2.73,22.7,1.07,0.69,16.6,23.3,1.1,0.72,18.9,10.1002/aenm.201601062
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C(C=C3)=CC4=C3C5=C(C46C(C=CC=C7)=C7OC8=C6C=CC=C8)C=C(N(C9=CC=C(OC)C=C9)C%10=CC(OC)=CC=C%10)C=C5,-5.15,-2.1,23.4,1.13,0.63,19.8,24.6,1.16,0.73,20.8,10.1016/j.nanoen.2016.03.020
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C(C=C3)=CC4=C3C5=C(C4(C6=C7C=CC(N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)=C6)C%10=C(O7)C=CC(N(C%11=CC=C(OC)C=C%11)C%12=CC(OC)=CC=C%12)=C%10)C=C(N(C%13=CC=C(OC)C=C%13)C%14=CC(OC)=CC=C%14)C=C5,-,-,24.2,1.14,0.71,19.84,24.1,1.14,0.69,19.26,10.1039/C6EE00056H
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C(C=C3)=CC4=C3C5=C(C4(C6=C7SC=C6)C8=C7SC=C8)C=C(N(C9=CC=C(OC)C=C9)C%10=CC(OC)=CC=C%10)C=C5,-5.16,-2.88,22.7,1.15,0.76,20.2,22.3,1.13,0.77,19.7,10.1038/nenergy.2015.17
CC(C=C1)=CC=C1N(C2=CC=C(C)C=C2)C(C=C3)=CC=C3/C=C/C(C=C4)=CC=C4N(C5=CC=C(OC)C=C5)C(C=C6)=CC=C6/C=C/C(C=C7)=CC=C7N(C8=CC=C(C)C=C8)C(C=C9)=CC=C9C,-5.34,-2.62,20.46,1.09,0.66,15.3,20.94,1.08,0.69,16.6,10.1002/cssc.201600905
COC(C=C1)=CC=C1N(C2=CC=C(/C=C/C3=CC=C(N(C4=CC=C(OC)C=C4)C5=CC=C(OC)C=C5)C=C3)C=C2)C(C=C6)=CC=C6/C=C/C(C=C7)=CC=C7N(C8=CC=C(OC)C=C8)C(C=C9)=CC=C9OC,-5.14,-2.43,21.27,1.05,0.69,16.1,20.94,1.08,0.69,16.6,10.1002/cssc.201600905
COC(C=C1)=CC=C1N(C2=CC=C(/C=C/C3=CC=C(N(CC)C4=C5C=CC=C4)C5=C3)C=C2)C(C=C6)=CC=C6/C=C/C7=CC=C8C(C(C=CC=C9)=C9N8CC)=C7,-5.42,-2.61,18.02,0.98,0.58,10.8,20.94,1.08,0.69,16.6,10.1002/cssc.201600905
COC(C=C1)=CC=C1N(C2=CC=C(/C(C3=CC=C(N(C4=CC=C(OC)C=C4)C5=CC=C(OC)C=C5)C=C3)=C(C6=CC=C(N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C=C6)/C(C=C9)=CC=C9N(C%10=CC=C(OC)C=C%10)C%11=CC=C(OC)C=C%11)C=C2)C%12=CC=C(OC)C=C%12,-5.17,-2.48,19.63,1.03,0.65,13.04,20.58,1.03,0.71,15.01,10.1002/chem.201603672
COC(C=C1)=CC=C1N(C2=CC=C(/C(C3=CC=C(N(C4=CC=C(OC)C=C4)C5=CC=CC(OC)=C5)C=C3)=C(C6=CC=C(N(C7=CC=C(OC)C=C7)C8=CC=CC(OC)=C8)C=C6)/C(C=C9)=CC=C9N(C%10=CC=C(OC)C=C%10)C%11=CC(OC)=CC=C%11)C=C2)C%12=CC(OC)=CC=C%12,-5.3,-2.6,20.04,1.07,0.71,15.44,20.58,1.03,0.71,15.01,10.1002/chem.201603672
COC(C=C1)=CC=C1N(C2=CC=C(/C(C3=CC=C(N(C4=CC=C(OC)C=C4)C5=CC=CC=C5OC)C=C3)=C(C6=CC=C(N(C7=CC=C(OC)C=C7)C8=CC=CC=C8OC)C=C6)/C(C=C9)=CC=C9N(C%10=CC=C(OC)C=C%10)C%11=C(OC)C=CC=C%11)C=C2)C%12=C(OC)C=CC=C%12,-5.2,-2.5,19.23,1.02,0.41,8.08,20.58,1.03,0.71,15.01,10.1002/chem.201603672
CCCCCCC(C=C(C1=CC=NC=C1)S2)=C2C3=CC=C(C4=NSN=C43)C(S5)=C(CCCCCC)C=C5C6=CC7=C(S6)C(OCC(CC)CCCC)=C8C(SC(C9=CC(CCCCCC)=C(C%10=CC=C(C%11=C(CCCCCC)C=C(C%12=CC=NC=C%12)S%11)C%13=NSN=C%10%13)S9)=C8)=C7OCC(CC)CCCC,-5.33,-3.49,19.83,1.04,0.66,13.5,23.86,1.08,0.68,17.4,10.1016/j.nanoen.2016.10.041
CCCCN(CCCC)C(C=C1)=CC=C1/C=C/C2=CC=C(N(C3=CC=C(/C=C/C4=CC=C(N(CCCC)CCCC)C=C4)C=C3)C5=CC=C(/C=C/C6=CC=C(N(CCCC)CCCC)C=C6)C=C5)C=C2,-5.24,-2.63,21.07,1.06,0.66,15.4,21.43,1.04,0.65,14.9,10.1039/C6TA05254A
CC(C)(C)C1=CC2=C(C=C1)C3=CC=C(C(C)(C)C)C=C3C24C5=C(C6=C4C=C(N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C=C6)C=CC(N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)=C5,-5.16,-2.17,22.7,1.07,0.7,16.6,21.47,1.06,0.71,16.12,10.1039/C6RA21448G
COC1=CC=C(N(C2=CC=C(OC)C=C2)C3=CC=C(C4=C5C=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)C=C4)C(C(C8=CC(N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)=CC=C8O%11)5C%12=C%11C=CC(N(C%13=CC=C(OC)C=C%13)C%14=CC=C(OC)C=C%14)=C%12)=C3)C=C1,-5.16,-2.2,21.3,0.98,0.59,12.04,23.16,0.92,0.61,13,10.1039/C6TA00110F
COC1=CC=C(N(C2=CC=C(C3=CC=C(N(C4=CC=C(C5=CC=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)C=C5)C=C4)C8=CC=C(OC)C=C8)C=C3)C=C2)C9=CC=C(OC)C=C9)C=C1,-5.04,-,21,1.12,0.64,15.45,-,-,-,-,10.1002/aenm.201502536
COC1=CC=C(N(C2=CC3=C(C4=CC=C(N(C5=CC=C(C6=C7C=C(N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)C=C6)C(C7(CCCC)CCCC)=C5)C%10=CC=C(OC)C=C%10)C=C4C3(CCCC)CCCC)C=C2)C%11=CC=C(OC)C=C%11)C=C1,-4.9,-,21.84,1.08,0.72,17.33,-,-,-,-,10.1002/aenm.201502536
COC1=CC=C(N(C2=CC3=C(C4=CC=C(N(C5=CC=C(C6=C7C=C(N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)C=C6)C(C7(CCCCCC)CCCCCC)=C5)C%10=CC=C(OC)C=C%10)C=C4C3(CCCCCC)CCCCCC)C=C2)C%11=CC=C(OC)C=C%11)C=C1,-4.9,-,20.98,1.04,0.66,14.6,-,-,-,-,10.1002/aenm.201502536
COC1=CC=C(N(C2=CC=C(C3=CC=C(N(C4=CC=C(C5=CC=C(N(C6=CC=C(OCCCCCC)C=C6)C7=CC=C(OC)C=C7)C=C5)C=C4)C8=CC=C(OCCCCCC)C=C8)C=C3)C=C2)C9=CC=C(OCCCCCC)C=C9)C=C1,-4.99,-,17.85,1.08,0.64,12.31,-,-,-,-,10.1002/aenm.201502536
COC1=CC=C(N(C2=CC(C(C=C(N(C3=CC=C(OC)C=C3)C4=CC=C(OC)C=C4)C=C5)=C5N6C7=CC=C(OC)C(C8=C(OC)C=CC(N9C%10=C(C=C(N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)C=C%10)C%13=C9C=CC(N(C%14=CC=C(OC)C=C%14)C%15=CC=C(OC)C=C%15)=C%13)=C8)=C7)=C6C=C2)C%16=CC=C(OC)C=C%16)C=C1,-5.26,-2.33,8.47,1.03,0.52,4.53,20.81,1.02,0.77,16.78,10.1016/j.electacta.2016.05.203
COC1=CC=C(N(C2=CC(C3=CC(N(C4=CC=C(OC)C=C4)C5=CC=C(OC)C=C5)=CC=C3OC)=C(OC)C=C2)C6=CC=C(OC)C=C6)C=C1,-5.42,-2.13,0.8,0.6,0.4,0.19,20.81,1.02,0.77,16.78,10.1016/j.electacta.2016.05.203
COC1=CC=C(N(C2=C(C)C(C3=C(C)C(N(C4=CC=C(OC)C=C4)C5=CC=C(OC)C=C5)=C(C)C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)=C3C)=C(C)C(N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)=C2C)C%10=CC=C(OC)C=C%10)C=C1,-5.24,-1.77,18.89,1.01,0.64,12.11,20.73,0.92,0.66,12.69,10.1002/cssc.201501392
CC(C(C1=CC=C(N(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3)C=C1)=C(C)C(C4=C(C)C(C5=CC=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)C=C5)=C(C)C(C8=CC=C(N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)C=C8)=C4C)=C%11C)=C%11C%12=CC=C(N(C%13=CC=C(OC)C=C%13)C%14=CC=C(OC)C=C%14)C=C%12,-5.17,-1.8,17.31,0.98,0.57,9.7,20.73,0.92,0.66,12.69,10.1002/cssc.201501392
CC(C(C1=CC=C(C2=CC=C(N(C3=CC=C(OC)C=C3)C4=CC=C(OC)C=C4)C=C2)S1)=C(C)C(C5=C(C)C(C6=CC=C(C7=CC=C(N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)C=C7)S6)=C(C)C(C%10=CC=C(C%11=CC=C(N(C%12=CC=C(OC)C=C%12)C%13=CC=C(OC)C=C%13)C=C%11)S%10)=C5C)=C%14C)=C%14C%15=CC=C(C%16=CC=C(N(C%17=CC=C(OC)C=C%17)C%18=CC=C(OC)C=C%18)C=C%16)S%15,-5.13,-2.11,7.64,0.89,0.34,2.3,20.73,0.92,0.66,12.69,10.1002/cssc.201501392
COC1=CC=C(N(C2=CC=C(OC)C=C2)C3=CC=C(C(S4)=C5C(OCCO5)=C4C6=CC=C(N(C7=CC=C(C8=C(OCCO9)C9=C(C%10=CC=C(N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)C=C%10)S8)C=C7)C%13=CC=C(C%14=C(OCCO%15)C%15=C(C%16=CC=C(N(C%17=CC=C(OC)C=C%17)C%18=CC=C(OC)C=C%18)C=C%16)S%14)C=C%13)C=C6)C=C3)C=C1,-5.24,-2.42,21.01,0.92,0.67,12.92,20.91,0.97,0.69,13.84,10.1016/j.dyepig.2015.11.025
COC1=CC=C(N(C2=CC=C(OC)C=C2)C3=CC=C(C(C4=NSN=C45)=CC=C5C6=CC=C(N(C7=CC=C(C8=CC=C(C9=NSN=C98)C%10=CC=C(N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)C=C%10)C=C7)C%13=CC=C(C%14=CC=C(C%15=NSN=C%15%14)C%16=CC=C(N(C%17=CC=C(OC)C=C%17)C%18=CC=C(OC)C=C%18)C=C%16)C=C%13)C=C6)C=C3)C=C1,-5.34,-3.16,20.6,0.88,0.59,10.33,20.91,0.97,0.69,13.84,10.1016/j.dyepig.2015.11.025
CCCCN(CCCC)C1=CC=C(/C=C\C2=CC=C(N(C3=CC=C(C=CC4=CC=C(N(CCCCC)CCCCC)C=C4)C=C3)C5=CC=C(/C=C/C6=CC=C(N(C7=CC=CC=C7)C8=CC=C(/C=C/C9=CC=C(N(C%10=CC=C(/C=C\C%11=CC=C(N(CCCC)CCCC)C=C%11)C=C%10)C%12=CC=C(/C=C/C%13=CC=C(N(CCCCC)CCCCC)C=C%13)C=C%12)C=C9)C=C8)C=C6)C=C5)C=C2)C=C1,-5.21,-2.39,20.52,1.1,0.7,16.3,20.9,1.05,0.68,15.1,10.1002/aenm.201600401
CN(C)C1=CC=C(N(C2=CC=C(/C(C3=CC=C(N(C4=CC=C(N(C)C)C=C4)C5=CC=C(N(C)C)C=C5)C=C3)=C(C6=CC=C(N(C7=CC=C(N(C)C)C=C7)C8=CC=C(N(C)C)C=C8)C=C6)/C9=CC=C(N(C%10=CC=C(N(C)C)C=C%10)C%11=CC=C(N(C)C)C=C%11)C=C9)C=C2)C%12=CC=C(N(C)C)C=C%12)C=C1,-5.03,-2.33,21.69,0.87,0.73,13.78,20.58,1.03,0.71,15.01,10.1016/j.orgel.2016.10.022
COC1=CC=C(N(C2=CC=C(/C(C3=CC=C(N(C4=CC=C(OC)C=C4)C5=CC=C(OC)C=C5)C=C3)=C(C6=CC=C(N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C=C6)/C9=CC=C(N(C%10=CC=C(OC)C=C%10)C%11=CC=C(OC)C=C%11)C=C9)C=C2)C%12=CC=C(OC)C=C%12)C=C1,-5.17,-2.48,19.63,1.02,0.65,13.04,20.58,1.03,0.71,15.01,10.1016/j.orgel.2016.10.022
COC1=CC=C(N(C2=CC=C(/C(C3=CC=C(N(C4=CC=C(OC)C=C4)C5=CC=C(OC)C=C5)C=C3)=C\C(C#N)=C(C#N)/C#N)C=C2)C6=CC=C(OC)C=C6)C=C1,-5.35,-3.73,21.06,1.06,0.79,17.68,12.28,1.05,0.39,4.96,10.1021/jacs.6b06291
CCC(CCCCCC)[Si](C1=C2SC(/C=C3C(N(CC)C(S/3)=S)=O)=C1)(C(CC)CCCCCC)C4=C2SC(C5=CC6=C(C7=CC=C(C(CC)CCCCCC)S7)C8=C(C=C(C9=CC([Si](C(CC)CCCCCC)(C(CC)CCCCCC)C%10=C%11SC(/C=C%12C(N(CC)C(S/%12)=S)=O)=C%10)=C%11S9)S8)C(C%13=CC=C(C(CC)CCCCCC)S%13)=C6S5)=C4,-5.09,-2.92,21.2,1.05,0.73,16.2,18.1,0.94,0.32,5.4,10.1002/adma.201504293
CCC(CCCCCC)[Si](C1=C2SC(/C=C3C(N(CCCCCCCC)C(S/3)=S)=O)=C1)(C(CC)CCCCCC)C4=C2SC(C5=C(F)C(F)=C(C6=CC([Si](C(CC)CCCCCC)(C(CC)CCCCCC)C7=C8SC(/C=C9C(N(CCCCCCCC)C(S/9)=S)=O)=C7)=C8S6)C%10=NSN=C5%10)=C4,-5.15,-3.22,17.1,0.98,0.37,6.2,18.1,0.94,0.32,5.4,10.1002/adma.201504293
CCC(CCCCCC)C1=CC=C(C2=CC=C(C3=C(C4=C(C5=CC=C(C6=CC=C(C(CCCCCC)CC)S6)S5)SC(C7=CC=C(C8=CC=C(C(CCCCCC)CC)S8)S7)=C4)C=C(C9=CC=C(C%10=CC=C(C(CC)CCCCCC)S%10)S9)S3)S2)S1,-5.16,-2.42,15.7,0.85,0.65,8.69,12.93,0.84,0.5,5.38,10.1039/c6ta00032k
CCCCCCCC1=CC=C(C2=CC=C(C3=C(C4=C(C5=CC=C(C6=CC=C(CCCCCCC)S6)S5)SC(C7=CC=C(C8=CC=C(CCCCCCC)S8)S7)=C4)C=C(C9=CC=C(C%10=CC=C(CCCCCCC)S%10)S9)S3)S2)S1,-5.15,-2.38,15.6,0.85,0.63,8.35,12.93,0.84,0.5,5.38,10.1039/c6ta00032k
CCOCCOCC1=CC=C(C2=CC=C(C3=CC(C4=C(C5=CC=C(C6=CC=C(COCCOCC)S6)S5)SC(C7=CC=C(C8=CC=C(COCCOCC)S8)S7)=C4)=C(C9=CC=C(C%10=CC=C(COCCCOCC)S%10)S9)S3)S2)S1,-5.14,-2.43,16.51,0.85,0.69,9.73,12.93,0.84,0.5,5.38,10.1039/c6ta00032k
CCCCCCC(S1)=CC=C1C2=CC=C(N(C3=CC=C(C4=CC=C(CCCCCC)S4)C=C3)C5=CC=C(C6=CC=C(CCCCCC)S6)C=C5)C=C2,-4.94,-2.77,8.8,0.97,0.41,3.5,17.8,1.06,0.71,13.4,10.1139/cjc-2015-0427
O=C1N(CCCCCC)C(C2=CC=C(C3=COC(C4=CC=C(N(C5=CC=C(C6=CC=C(C7=CC=C8C(C(N(CCCCCC)C8=O)=O)=C7)O6)C=C5)C9=CC=C(C%10=CC(C%11=CC=C(C(N(CCCCCC)C%12=O)=O)C%12=C%11)=CO%10)C=C9)C=C4)=C3)C=C21)=O,-5.08,-2.9,4.2,0.92,0.52,2,17.8,1.06,0.71,13.4,10.1139/cjc-2015-0427
O=C1N(C(C)C)C(C2=CC=C(C3=COC(C4=C5C(C(N4C(CC)CCCC)=O)=C(C6=CC=C(N(C7=CC=C(C8=C9C(C(N8C(CC)CCCC)=O)=C(C%10=CC=C(C%11=CC=C%12C(C(N(C(CC)CC)C%12=O)=O)=C%11)O%10)N(C(CC)CCCC)C9=O)C=C7)C%13=CC=C(C%14=C%15C(C(N%14C(CC)CCCC)=O)=C(C%16=CC(C%17=CC=C(C(N(C(CC)CC)C%18=O)=O)C%18=C%17)=CO%16)N(C(CC)CCCC)C%15=O)C=C%13)C=C6)N(C(CC)CCCC)C5=O)=C3)C=C21)=O,-5.04,-3.36,3.4,0.85,0.31,0.9,17.8,1.06,0.71,13.4,10.1139/cjc-2015-0427
CCCCCCC1=CC=C(C2=CC=C(C3=CC(F)=C(C4=CC5=C(C(C=C(C6=C(F)C=C(C7=CC=C(C8=CC=C(CCCCCC)S8)S7)C9=NSN=C69)S%10)=C%10[Si]5(C(CC)CCCC)C(CC)CCCC)S4)C%11=NSN=C3%11)S2)S1,-5.03,-3.37,10,0.89,0.31,2.8,17.8,1.06,0.71,13.4,10.1139/cjc-2015-0427
CCCCCCC1=CC=C(C2=CC=C(C3=CC=C(C4=C(CCCCCC)C=C(C5=CC(C(OCC(CCCC)CC)=C(SC(C(S6)=CC(CCCCCC)=C6C7=CC=C(C8=CC=C(C9=CC=C(CCCCCC)S9)S8)C%10=NSN=C7%10)=C%11)C%11=C%12OCC(CCCCC)CC)=C%12S5)S4)C%13=NSN=C3%13)S2)S1,-5.26,-3.57,18.4,1,0.76,13.9,19.6,0.98,0.71,13.8,10.1016/j.nanoen.2016.03.007
COC1=CC=C(N(C2=CC=C(N(C3=CC=C4C(C(C=C(N(C5=CC=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)C=C5)C8=CC=C(N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)C=C8)C=C%11)=C%11O4)=C3)C%12=CC=C(N(C%13=CC=C(OC)C=C%13)C%14=CC=C(OC)C=C%14)C=C%12)C=C2)C%15=CC=C(OC)C=C%15)C=C1,-5.01,-,23.22,0.99,0.66,15.04,21.56,1.01,0.65,14.2,10.1039/c6ta00976j
COC1=CC=C(N(C2=CC(C3=C(N4C5=CC=C6C(C(C=C(N(C7=CC=C(N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)C=C7%10)C%11=C%10C=C(N(C%12=CC=C(OC)C=C%12)C%13=CC=C(OC)C=C%13)C=C%11)C=C%14)=C%14O6)=C5)C=CC(N(C%15=CC=C(OC)C=C%15)C%16=CC=C(OC)C=C%16)=C3)=C4C=C2)C%17=CC=C(OC)C=C%17)C=C1,-5.14,-,21.22,1.03,0.64,14.07,21.56,1.01,0.65,14.2,10.1039/c6ta00976j
COC1=CC=C(N(C2=CC=C(C3=NN=C(C4=CC=C(N(C5=CC=C(OC)C=C5)C6=CC=C(OC)C=C6)C=C4)O3)C=C2)C7=CC=C(OC)C=C7)C=C1,-5.46,-2.62,5.8,1.49,0.7,6.12,5.5,1.41,0.73,5.8,10.1002/cssc.201501665
-,-5.09,-3.44,21.75,0.97,0.7,14.74,21.11,1,0.72,15.33,10.1039/c5nr05697g
-,-5.08,-3.42,21.11,0.96,0.72,14.73,21.11,1,0.72,15.33,10.1039/c5nr05697g
COC1=CC=C(N(C2=CC=C(C(C=CC(N(C3=CC=C(OC)C=C3)C4=CC=C(OC)C=C4)=C5)=C5N6CCCCCC)C6=C2)C7=CC=C(OC)C=C7)C=C1,-4.85,-,19.9,0.99,0.55,10.9,17.5,0.99,0.55,13.3,10.1021/acsami.5b10093
COC1=CC=C(N(C2=CC=C(C(C=CC(N(C3=CC=C(OC)C=C3)C4=CC=C(OC)C=C4)=C5)=C5N6CC(CC)CCCC)C6=C2)C7=CC=C(OC)C=C7)C=C1,-,-,18.6,0.94,0.6,13.2,17.5,0.99,0.55,13.3,10.1021/acsami.5b10093
CCCCCCOC(C=C1OCCCCCC)=CC=C1C2=CC=C(N(C3=CC=C(C4=CC(N(CCCCCC)C5=C6SC7=C5N(CCCCCC)C8=C7SC(/C=C(C#N)/C#N)=C8)=C6S4)C=C3)C9=CC=C(C%10=C(OCCCCCC)C=C(OCCCCCC)C=C%10)C=C9)C=C2,-5.16,-3.56,16.1,1.02,0.44,7.3,21.5,1.02,0.49,10.7,10.1002/cssc.201501510
